timestamp,source,source_port,destination,destination_port,protocol
1599665137.449778,192.0.0.3,36580,192.0.0.2,1050,TCP
1599665137.449796,192.0.0.2,5030,192.0.0.3,36580,TCP
1599665137.449811,192.0.0.2,1050,192.0.0.3,36580,TCP
1599665137.449853,192.0.0.3,36580,192.0.0.2,199,TCP
1599665137.449904,192.0.0.3,36580,192.0.0.2,481,TCP
1599665137.449942,192.0.0.2,481,192.0.0.3,36580,TCP
1599665137.449958,192.0.0.3,36580,192.0.0.2,1076,TCP
1599665137.449965,192.0.0.3,36580,192.0.0.2,8093,TCP
1599665137.449992,192.0.0.2,1076,192.0.0.3,36580,TCP
1599665137.450011,192.0.0.2,8093,192.0.0.3,36580,TCP
1599665137.450107,192.0.0.2,199,192.0.0.3,36580,TCP
1599665137.451346,192.0.0.3,36580,192.0.0.2,443,TCP
1599665137.451402,192.0.0.2,443,192.0.0.3,36580,TCP
1599665137.451436,192.0.0.3,36580,192.0.0.2,587,TCP
1599665137.451477,192.0.0.3,36580,192.0.0.2,777,TCP
1599665137.451506,192.0.0.3,36580,192.0.0.2,44442,TCP
1599665137.451537,192.0.0.2,44442,192.0.0.3,36580,TCP
1599665137.452993,192.0.0.2,777,192.0.0.3,36580,TCP
1599665137.452993,192.0.0.2,587,192.0.0.3,36580,TCP
1599665137.453015,192.0.0.3,36580,192.0.0.2,7512,TCP
1599665137.453016,192.0.0.3,36580,192.0.0.2,12174,TCP
1599665137.453145,192.0.0.2,12174,192.0.0.3,36580,TCP
1599665137.453161,192.0.0.3,36580,192.0.0.2,7777,TCP
1599665137.453202,192.0.0.2,7777,192.0.0.3,36580,TCP
1599665137.453218,192.0.0.3,36580,192.0.0.2,1091,TCP
1599665137.453208,192.0.0.3,36580,192.0.0.2,666,TCP
1599665137.453254,192.0.0.2,1091,192.0.0.3,36580,TCP
1599665137.453269,192.0.0.3,36580,192.0.0.2,4662,TCP
1599665137.453304,192.0.0.2,666,192.0.0.3,36580,TCP
1599665137.453322,192.0.0.3,36580,192.0.0.2,2107,TCP
1599665137.453344,192.0.0.2,4662,192.0.0.3,36580,TCP
1599665137.453352,192.0.0.2,2107,192.0.0.3,36580,TCP
1599665137.453357,192.0.0.3,36580,192.0.0.2,2121,TCP
1599665137.453364,192.0.0.3,36580,192.0.0.2,3826,TCP
1599665137.453393,192.0.0.3,36580,192.0.0.2,3889,TCP
1599665137.453422,192.0.0.2,3889,192.0.0.3,36580,TCP
1599665137.453437,192.0.0.3,36580,192.0.0.2,5903,TCP
1599665137.453471,192.0.0.3,36580,192.0.0.2,9207,TCP
1599665137.453476,192.0.0.3,36580,192.0.0.2,49153,TCP
1599665137.453506,192.0.0.3,36580,192.0.0.2,2135,TCP
1599665137.453535,192.0.0.2,2135,192.0.0.3,36580,TCP
1599665137.453556,192.0.0.3,36580,192.0.0.2,7004,TCP
1599665137.453617,192.0.0.3,36580,192.0.0.2,1199,TCP
1599665137.453654,192.0.0.2,1199,192.0.0.3,36580,TCP
1599665137.453671,192.0.0.3,36580,192.0.0.2,2222,TCP
1599665137.453707,192.0.0.2,2222,192.0.0.3,36580,TCP
1599665137.453723,192.0.0.3,36580,192.0.0.2,3000,TCP
1599665137.453758,192.0.0.2,3000,192.0.0.3,36580,TCP
1599665137.453773,192.0.0.3,36580,192.0.0.2,4000,TCP
1599665137.453808,192.0.0.2,4000,192.0.0.3,36580,TCP
1599665137.453822,192.0.0.3,36580,192.0.0.2,8082,TCP
1599665137.453891,192.0.0.2,8082,192.0.0.3,36580,TCP
1599665137.453906,192.0.0.3,36580,192.0.0.2,3013,TCP
1599665137.453911,192.0.0.3,36580,192.0.0.2,1132,TCP
1599665137.453943,192.0.0.2,3013,192.0.0.3,36580,TCP
1599665137.453956,192.0.0.2,1132,192.0.0.3,36580,TCP
1599665137.453958,192.0.0.3,36580,192.0.0.2,9917,TCP
1599665137.453992,192.0.0.3,36580,192.0.0.2,5904,TCP
1599665137.454018,192.0.0.2,5904,192.0.0.3,36580,TCP
1599665137.454032,192.0.0.3,36580,192.0.0.2,7435,TCP
1599665137.454039,192.0.0.3,36580,192.0.0.2,1914,TCP
1599665137.454084,192.0.0.2,7435,192.0.0.3,36580,TCP
1599665137.454098,192.0.0.3,36580,192.0.0.2,5925,TCP
1599665137.454129,192.0.0.2,5925,192.0.0.3,36580,TCP
1599665137.454143,192.0.0.3,36580,192.0.0.2,8088,TCP
1599665137.454162,192.0.0.2,7512,192.0.0.3,36580,TCP
1599665137.454176,192.0.0.2,8088,192.0.0.3,36580,TCP
1599665137.454183,192.0.0.3,36580,192.0.0.2,17988,TCP
1599665137.45419,192.0.0.3,36580,192.0.0.2,6009,TCP
1599665137.454218,192.0.0.2,1914,192.0.0.3,36580,TCP
1599665137.454229,192.0.0.2,6009,192.0.0.3,36580,TCP
1599665137.454232,192.0.0.3,36580,192.0.0.2,27353,TCP
1599665137.454291,192.0.0.2,17988,192.0.0.3,36580,TCP
1599665137.454296,192.0.0.3,36580,192.0.0.2,24,TCP
1599665137.45432,192.0.0.2,27353,192.0.0.3,36580,TCP
1599665137.454338,192.0.0.2,24,192.0.0.3,36580,TCP
1599665137.454354,192.0.0.3,36580,192.0.0.2,2010,TCP
1599665137.454357,192.0.0.3,36580,192.0.0.2,3851,TCP
1599665137.454381,192.0.0.2,3851,192.0.0.3,36580,TCP
1599665137.454384,192.0.0.3,36580,192.0.0.2,4224,TCP
1599665137.454392,192.0.0.2,2010,192.0.0.3,36580,TCP
1599665137.454476,192.0.0.2,2121,192.0.0.3,36580,TCP
1599665137.454488,192.0.0.2,4224,192.0.0.3,36580,TCP
1599665137.454628,192.0.0.3,36580,192.0.0.2,5120,TCP
1599665137.455686,192.0.0.2,3826,192.0.0.3,36580,TCP
1599665137.455697,192.0.0.2,5120,192.0.0.3,36580,TCP
1599665137.455713,192.0.0.3,36580,192.0.0.2,555,TCP
1599665137.455761,192.0.0.2,555,192.0.0.3,36580,TCP
1599665137.455776,192.0.0.3,36580,192.0.0.2,27352,TCP
1599665137.455812,192.0.0.2,5903,192.0.0.3,36580,TCP
1599665137.455828,192.0.0.3,36580,192.0.0.2,1071,TCP
1599665137.455868,192.0.0.2,49153,192.0.0.3,36580,TCP
1599665137.455874,192.0.0.3,36580,192.0.0.2,7,TCP
1599665137.455882,192.0.0.3,36580,192.0.0.2,5862,TCP
1599665137.455916,192.0.0.2,9207,192.0.0.3,36580,TCP
1599665137.455928,192.0.0.2,7004,192.0.0.3,36580,TCP
1599665137.45593,192.0.0.2,9917,192.0.0.3,36580,TCP
1599665137.455937,192.0.0.2,27352,192.0.0.3,36580,TCP
1599665137.455938,192.0.0.2,1071,192.0.0.3,36580,TCP
1599665137.455939,192.0.0.2,7,192.0.0.3,36580,TCP
1599665137.45596,192.0.0.2,5862,192.0.0.3,36580,TCP
1599665137.455974,192.0.0.3,36580,192.0.0.2,900,TCP
1599665137.456011,192.0.0.2,900,192.0.0.3,36580,TCP
1599665137.459,192.0.0.3,36580,192.0.0.2,1024,TCP
1599665137.459359,192.0.0.2,1024,192.0.0.3,36580,TCP
1599665137.471192,192.0.0.3,36580,192.0.0.2,7496,TCP
1599665137.471232,192.0.0.2,7496,192.0.0.3,36580,TCP
1599665137.471269,192.0.0.3,36580,192.0.0.2,7921,TCP
1599665137.471304,192.0.0.2,7921,192.0.0.3,36580,TCP
1599665137.471381,192.0.0.3,36580,192.0.0.2,1322,TCP
1599665137.471435,192.0.0.2,1322,192.0.0.3,36580,TCP
1599665137.472208,192.0.0.3,36580,192.0.0.2,8888,TCP
1599665137.472255,192.0.0.3,36580,192.0.0.2,993,TCP
1599665137.472288,192.0.0.3,36580,192.0.0.2,5900,TCP
1599665137.472548,192.0.0.2,993,192.0.0.3,36580,TCP
1599665137.472751,192.0.0.3,36580,192.0.0.2,9081,TCP
1599665137.472751,192.0.0.3,36580,192.0.0.2,9290,TCP
1599665137.47311,192.0.0.2,9290,192.0.0.3,36580,TCP
1599665137.473128,192.0.0.3,36580,192.0.0.2,3031,TCP
1599665137.473819,192.0.0.2,8888,192.0.0.3,36580,TCP
1599665137.47384,192.0.0.3,36580,192.0.0.2,27356,TCP
1599665137.47389,192.0.0.2,27356,192.0.0.3,36580,TCP
1599665137.473923,192.0.0.3,36580,192.0.0.2,1054,TCP
1599665137.473957,192.0.0.2,1054,192.0.0.3,36580,TCP
1599665137.473973,192.0.0.3,36580,192.0.0.2,14442,TCP
1599665137.474007,192.0.0.2,14442,192.0.0.3,36580,TCP
1599665137.47417,192.0.0.3,36580,192.0.0.2,2191,TCP
1599665137.47421,192.0.0.2,2191,192.0.0.3,36580,TCP
1599665137.474311,192.0.0.3,36580,192.0.0.2,1248,TCP
1599665137.474332,192.0.0.3,36580,192.0.0.2,8600,TCP
1599665137.474364,192.0.0.2,8600,192.0.0.3,36580,TCP
1599665137.474725,192.0.0.2,9081,192.0.0.3,36580,TCP
1599665137.476596,192.0.0.3,36580,192.0.0.2,3030,TCP
1599665137.47836,192.0.0.2,3030,192.0.0.3,36580,TCP
1599665137.479587,192.0.0.3,36580,192.0.0.2,722,TCP
1599665137.479698,192.0.0.3,36580,192.0.0.2,8292,TCP
1599665137.479722,192.0.0.3,36580,192.0.0.2,646,TCP
1599665137.479734,192.0.0.2,8292,192.0.0.3,36580,TCP
1599665137.47975,192.0.0.3,36580,192.0.0.2,1040,TCP
1599665137.479771,192.0.0.3,36580,192.0.0.2,1069,TCP
1599665137.479791,192.0.0.3,36580,192.0.0.2,1011,TCP
1599665137.47981,192.0.0.3,36580,192.0.0.2,3659,TCP
1599665137.479824,192.0.0.3,36580,192.0.0.2,912,TCP
1599665137.479858,192.0.0.2,912,192.0.0.3,36580,TCP
1599665137.479858,192.0.0.2,3659,192.0.0.3,36580,TCP
1599665137.479873,192.0.0.3,36580,192.0.0.2,1138,TCP
1599665137.479879,192.0.0.3,36580,192.0.0.2,2323,TCP
1599665137.479918,192.0.0.2,2323,192.0.0.3,36580,TCP
1599665137.479988,192.0.0.3,36580,192.0.0.2,6699,TCP
1599665137.479997,192.0.0.2,1138,192.0.0.3,36580,TCP
1599665137.480065,192.0.0.3,36580,192.0.0.2,3905,TCP
1599665137.480091,192.0.0.2,1248,192.0.0.3,36580,TCP
1599665137.480108,192.0.0.3,36580,192.0.0.2,5200,TCP
1599665137.480112,192.0.0.2,722,192.0.0.3,36580,TCP
1599665137.480118,192.0.0.3,36580,192.0.0.2,902,TCP
1599665137.480154,192.0.0.2,902,192.0.0.3,36580,TCP
1599665137.480158,192.0.0.2,646,192.0.0.3,36580,TCP
1599665137.480168,192.0.0.3,36580,192.0.0.2,18988,TCP
1599665137.480174,192.0.0.3,36580,192.0.0.2,1055,TCP
1599665137.480175,192.0.0.3,36580,192.0.0.2,513,TCP
1599665137.480213,192.0.0.2,1011,192.0.0.3,36580,TCP
1599665137.480199,192.0.0.2,18988,192.0.0.3,36580,TCP
1599665137.48026,192.0.0.3,36580,192.0.0.2,1287,TCP
1599665137.480274,192.0.0.3,36580,192.0.0.2,50389,TCP
1599665137.480296,192.0.0.2,1287,192.0.0.3,36580,TCP
1599665137.480308,192.0.0.2,50389,192.0.0.3,36580,TCP
1599665137.480313,192.0.0.3,36580,192.0.0.2,44443,TCP
1599665137.480323,192.0.0.3,36580,192.0.0.2,6059,TCP
1599665137.480348,192.0.0.2,3905,192.0.0.3,36580,TCP
1599665137.480353,192.0.0.3,36580,192.0.0.2,1039,TCP
1599665137.480361,192.0.0.3,36580,192.0.0.2,2910,TCP
1599665137.480362,192.0.0.3,36580,192.0.0.2,1104,TCP
1599665137.480391,192.0.0.2,2910,192.0.0.3,36580,TCP
1599665137.480401,192.0.0.3,36580,192.0.0.2,1074,TCP
1599665137.480426,192.0.0.2,5200,192.0.0.3,36580,TCP
1599665137.480432,192.0.0.3,36580,192.0.0.2,3283,TCP
1599665137.48046,192.0.0.2,3283,192.0.0.3,36580,TCP
1599665137.48423,192.0.0.2,1104,192.0.0.3,36580,TCP
1599665137.484247,192.0.0.3,36580,192.0.0.2,6003,TCP
1599665137.484466,192.0.0.3,36580,192.0.0.2,1081,TCP
1599665137.484523,192.0.0.2,1081,192.0.0.3,36580,TCP
1599665137.476489,192.0.0.2,3031,192.0.0.3,36580,TCP
1599665137.489046,192.0.0.2,6003,192.0.0.3,36580,TCP
1599665137.49438,192.0.0.3,36580,192.0.0.2,5001,TCP
1599665137.494391,192.0.0.3,36580,192.0.0.2,8080,TCP
1599665137.494405,192.0.0.3,36580,192.0.0.2,7741,TCP
1599665137.494462,192.0.0.2,7741,192.0.0.3,36580,TCP
1599665137.494464,192.0.0.3,36580,192.0.0.2,1723,TCP
1599665137.494501,192.0.0.3,36580,192.0.0.2,1658,TCP
1599665137.494503,192.0.0.2,5900,192.0.0.3,36580,TCP
1599665137.494508,192.0.0.2,5001,192.0.0.3,36580,TCP
1599665137.494519,192.0.0.3,36580,192.0.0.2,2869,TCP
1599665137.494533,192.0.0.3,36580,192.0.0.2,667,TCP
1599665137.49456,192.0.0.2,1040,192.0.0.3,36580,TCP
1599665137.494565,192.0.0.3,36580,192.0.0.2,8000,TCP
1599665137.494573,192.0.0.3,36580,192.0.0.2,8290,TCP
1599665137.49458,192.0.0.3,36580,192.0.0.2,311,TCP
1599665137.494606,192.0.0.2,1069,192.0.0.3,36580,TCP
1599665137.494617,192.0.0.2,1658,192.0.0.3,36580,TCP
1599665137.494617,192.0.0.3,36580,192.0.0.2,2909,TCP
1599665137.494631,192.0.0.3,36580,192.0.0.2,16992,TCP
1599665137.494665,192.0.0.2,6699,192.0.0.3,36580,TCP
1599665137.494683,192.0.0.3,36580,192.0.0.2,4005,TCP
1599665137.4947,192.0.0.3,36580,192.0.0.2,6839,TCP
1599665137.494722,192.0.0.3,36580,192.0.0.2,5961,TCP
1599665137.494732,192.0.0.2,1055,192.0.0.3,36580,TCP
1599665137.494749,192.0.0.3,36580,192.0.0.2,5825,TCP
1599665137.494757,192.0.0.2,667,192.0.0.3,36580,TCP
1599665137.494773,192.0.0.3,36580,192.0.0.2,1107,TCP
1599665137.494785,192.0.0.2,44443,192.0.0.3,36580,TCP
1599665137.4948,192.0.0.3,36580,192.0.0.2,1334,TCP
1599665137.494808,192.0.0.2,1039,192.0.0.3,36580,TCP
1599665137.494824,192.0.0.3,36580,192.0.0.2,7625,TCP
1599665137.494837,192.0.0.2,513,192.0.0.3,36580,TCP
1599665137.494915,192.0.0.3,36580,192.0.0.2,13456,TCP
1599665137.495096,192.0.0.2,311,192.0.0.3,36580,TCP
1599665137.495113,192.0.0.3,36580,192.0.0.2,1641,TCP
1599665137.49515,192.0.0.2,5961,192.0.0.3,36580,TCP
1599665137.495222,192.0.0.2,13456,192.0.0.3,36580,TCP
1599665137.495334,192.0.0.3,36580,192.0.0.2,705,TCP
1599665137.495409,192.0.0.2,1641,192.0.0.3,36580,TCP
1599665137.495427,192.0.0.3,36580,192.0.0.2,11111,TCP
1599665137.495462,192.0.0.2,6059,192.0.0.3,36580,TCP
1599665137.495476,192.0.0.3,36580,192.0.0.2,4002,TCP
1599665137.495504,192.0.0.3,36580,192.0.0.2,8180,TCP
1599665137.495508,192.0.0.2,1074,192.0.0.3,36580,TCP
1599665137.495513,192.0.0.3,36580,192.0.0.2,6112,TCP
1599665137.495549,192.0.0.2,6839,192.0.0.3,36580,TCP
1599665137.49556,192.0.0.3,36580,192.0.0.2,1095,TCP
1599665137.495583,192.0.0.2,1723,192.0.0.3,36580,TCP
1599665137.495586,192.0.0.3,36580,192.0.0.2,1163,TCP
1599665137.495591,192.0.0.3,36580,192.0.0.2,5906,TCP
1599665137.495603,192.0.0.2,2869,192.0.0.3,36580,TCP
1599665137.495605,192.0.0.3,36580,192.0.0.2,49156,TCP
1599665137.495628,192.0.0.3,36580,192.0.0.2,7937,TCP
1599665137.495638,192.0.0.3,36580,192.0.0.2,5560,TCP
1599665137.495655,192.0.0.2,5825,192.0.0.3,36580,TCP
1599665137.49566,192.0.0.3,36580,192.0.0.2,6123,TCP
1599665137.495665,192.0.0.2,1107,192.0.0.3,36580,TCP
1599665137.495669,192.0.0.3,36580,192.0.0.2,512,TCP
1599665137.495699,192.0.0.3,36580,192.0.0.2,49999,TCP
1599665137.495721,192.0.0.2,8180,192.0.0.3,36580,TCP
1599665137.495726,192.0.0.3,36580,192.0.0.2,3809,TCP
1599665137.495727,192.0.0.2,5906,192.0.0.3,36580,TCP
1599665137.49573,192.0.0.3,36580,192.0.0.2,64680,TCP
1599665137.495749,192.0.0.3,36580,192.0.0.2,6006,TCP
1599665137.495759,192.0.0.2,49156,192.0.0.3,36580,TCP
1599665137.495764,192.0.0.3,36580,192.0.0.2,2002,TCP
1599665137.495776,192.0.0.3,36580,192.0.0.2,49167,TCP
1599665137.495801,192.0.0.2,49999,192.0.0.3,36580,TCP
1599665137.495805,192.0.0.3,36580,192.0.0.2,1687,TCP
1599665137.495831,192.0.0.2,7937,192.0.0.3,36580,TCP
1599665137.495835,192.0.0.3,36580,192.0.0.2,2638,TCP
1599665137.495861,192.0.0.2,8290,192.0.0.3,36580,TCP
1599665137.495924,192.0.0.3,36580,192.0.0.2,1041,TCP
1599665137.495944,192.0.0.2,5560,192.0.0.3,36580,TCP
1599665137.49595,192.0.0.3,36580,192.0.0.2,161,TCP
1599665137.495975,192.0.0.3,36580,192.0.0.2,3211,TCP
1599665137.49598,192.0.0.3,36580,192.0.0.2,616,TCP
1599665137.495997,192.0.0.2,3809,192.0.0.3,36580,TCP
1599665137.496019,192.0.0.3,36580,192.0.0.2,2998,TCP
1599665137.496064,192.0.0.2,16992,192.0.0.3,36580,TCP
1599665137.496091,192.0.0.3,36580,192.0.0.2,1106,TCP
1599665137.496121,192.0.0.3,36580,192.0.0.2,9100,TCP
1599665137.496124,192.0.0.2,1687,192.0.0.3,36580,TCP
1599665137.496137,192.0.0.3,36580,192.0.0.2,19315,TCP
1599665137.496171,192.0.0.2,1334,192.0.0.3,36580,TCP
1599665137.496184,192.0.0.3,36580,192.0.0.2,8181,TCP
1599665137.496219,192.0.0.2,2002,192.0.0.3,36580,TCP
1599665137.496263,192.0.0.3,36580,192.0.0.2,35500,TCP
1599665137.496289,192.0.0.3,36580,192.0.0.2,16080,TCP
1599665137.49633,192.0.0.3,36580,192.0.0.2,14238,TCP
1599665137.496363,192.0.0.2,49167,192.0.0.3,36580,TCP
1599665137.496378,192.0.0.3,36580,192.0.0.2,9099,TCP
1599665137.496411,192.0.0.3,36580,192.0.0.2,2393,TCP
1599665137.496438,192.0.0.2,3211,192.0.0.3,36580,TCP
1599665137.496452,192.0.0.3,36580,192.0.0.2,5214,TCP
1599665137.496485,192.0.0.2,11111,192.0.0.3,36580,TCP
1599665137.4965,192.0.0.3,36580,192.0.0.2,4004,TCP
1599665137.496535,192.0.0.3,36580,192.0.0.2,1461,TCP
1599665137.49656,192.0.0.2,616,192.0.0.3,36580,TCP
1599665137.496574,192.0.0.3,36580,192.0.0.2,3871,TCP
1599665137.496607,192.0.0.2,1041,192.0.0.3,36580,TCP
1599665137.496621,192.0.0.3,36580,192.0.0.2,9080,TCP
1599665137.496656,192.0.0.2,4002,192.0.0.3,36580,TCP
1599665137.496658,192.0.0.2,14238,192.0.0.3,36580,TCP
1599665137.496672,192.0.0.3,36580,192.0.0.2,2004,TCP
1599665137.496707,192.0.0.3,36580,192.0.0.2,2557,TCP
1599665137.496731,192.0.0.2,1095,192.0.0.3,36580,TCP
1599665137.496745,192.0.0.3,36580,192.0.0.2,1145,TCP
1599665137.496779,192.0.0.2,161,192.0.0.3,36580,TCP
1599665137.496794,192.0.0.3,36580,192.0.0.2,16018,TCP
1599665137.496824,192.0.0.2,1106,192.0.0.3,36580,TCP
1599665137.496839,192.0.0.3,36580,192.0.0.2,50001,TCP
1599665137.497341,192.0.0.2,8080,192.0.0.3,36580,TCP
1599665137.497378,192.0.0.3,36580,192.0.0.2,3971,TCP
1599665137.497411,192.0.0.3,36580,192.0.0.2,1524,TCP
1599665137.497439,192.0.0.2,8181,192.0.0.3,36580,TCP
1599665137.497456,192.0.0.3,36580,192.0.0.2,992,TCP
1599665137.49749,192.0.0.2,2393,192.0.0.3,36580,TCP
1599665137.497505,192.0.0.3,36580,192.0.0.2,6580,TCP
1599665137.49754,192.0.0.2,1163,192.0.0.3,36580,TCP
1599665137.497555,192.0.0.3,36580,192.0.0.2,2702,TCP
